report_id,district,date_of_report,victim_age,victim_gender,reporter_type,description,abuse_types,risk_level,follow_up_required,case_status,urban_rural,Physical violence,Sexual abuse,Emotional abuse,Neglect (basic needs),Child labor,Early marriage,Exploitation,Educational deprivation,Abandonment,Cyber exploitation,follow_up_Yes,follow_up_No,follow_up_pending
75539198,Bogra,5/12/2024,5,Female,Community leader,"Child engaged in factory labor, not attending school since 1 year. Multiple similar reports in area.","Child labor, Educational deprivation",medium,Yes,Investigation,Urban,0,0,0,0,1,0,0,1,0,0,1,0,0
66232514,Faridpur,4/6/2025,2,Male,Social worker,Child involved in grooming. Multiple similar reports in area.,Cyber exploitation,mild,Yes,Open,Urban,0,0,0,0,0,0,0,0,0,1,1,0,0
30297329,Bogra,12/11/2023,14,Male,Social worker,Child engaged in excessive working hours. Family denies allegations.,Child labor,mild,Yes,Open,Urban,0,0,0,0,1,0,0,0,0,0,1,0,0
11659647,Gaibandha,4/30/2023,8,Female,Healthcare worker,Child not attending school since 6 months. Corroborating evidence exists.,Educational deprivation,mild,Yes,Investigation,Rural,0,0,0,0,0,0,0,1,0,0,1,0,0
87579017,Gopalganj,9/24/2022,2,Male,Family member (father),Child observed bruises. Multiple similar reports in area.,Physical violence,medium,Yes,Closed,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
37295474,Chapai Nawabganj,1/6/2021,7,Male,NGO staff,"Child appears malnourished, shows signs of withdrawal. Multiple similar reports in area.","Neglect (basic needs), Emotional abuse",medium,Yes,Open,Rural,0,0,1,1,0,0,0,0,0,0,1,0,0
80380273,Shariatpur,7/23/2023,7,Female,Neighbor,Child observed burns. Multiple similar reports in area.,Physical violence,medium,Yes,Open,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
77936113,Nilphamari,10/25/2022,11,Male,Child helpline,Child arranged marriage at age 13. Corroborating evidence exists.,Early marriage,medium,No,Open,Urban,0,0,0,0,0,1,0,0,0,0,0,1,0
31205490,Kurigram,12/29/2024,6,Male,Child helpline,"Child not attending school since 1 year, engaged in factory labor. Case requires immediate attention.","Educational deprivation, Child labor",medium,Yes,Open,Rural,0,0,0,0,1,0,0,1,0,0,1,0,0
93571380,Noakhali,9/5/2023,7,Male,Child helpline,Child not attending school since 2 years. Case requires immediate attention.,Educational deprivation,mild,Yes,Closed,Rural,0,0,0,0,0,0,0,1,0,0,1,0,0
56329078,Bogra,12/6/2024,5,Female,Social worker,"Child not attending school since 6 months, left at hospital for weeks, subjected to forced labor. Corroborating evidence exists.","Educational deprivation, Abandonment, Exploitation",severe,No,Open,Rural,0,0,0,0,0,0,1,1,1,0,0,1,0
17366813,Barishal,7/16/2023,3,Female,NGO staff,Child shows signs of depression. Family denies allegations.,Emotional abuse,mild,Yes,Open,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
2045579,Chapai Nawabganj,5/30/2023,8,Male,Child helpline,"Child subjected to forced labor, reported assault. Corroborating evidence exists.","Exploitation, Sexual abuse",severe,Yes,Closed,Rural,0,1,0,0,0,0,1,0,0,0,1,0,0
65637880,Naogaon,9/22/2023,10,Male,Relative,Child shows signs of anxiety. Multiple similar reports in area.,Emotional abuse,mild,Yes,Investigation,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
84588235,Rajbari,11/15/2024,12,Male,Anonymous,"Child observed bruises, not attending school since 6 months, left at hospital for days. Family denies allegations.","Physical violence, Educational deprivation, Abandonment",severe,Yes,Closed,Rural,1,0,0,0,0,0,0,1,1,0,1,0,0
2659427,Panchagarh,1/1/2025,12,Female,Community leader,Child involved in online harassment. Case requires immediate attention.,Cyber exploitation,mild,Yes,Investigation,Rural,0,0,0,0,0,0,0,0,0,1,1,0,0
2130495,Bandarban,10/27/2022,8,Male,Teacher,"Child shows signs of withdrawal, left with neighbors for weeks, not attending school since 1 year. Family denies allegations.","Emotional abuse, Abandonment, Educational deprivation",severe,Yes,Open,Urban,0,0,1,0,0,0,0,1,1,0,1,0,0
79387726,Tangail,9/19/2022,15,Female,Teacher,Child subjected to begging ring. Family denies allegations.,Exploitation,medium,No,Investigation,Rural,0,0,0,0,0,0,1,0,0,0,0,1,0
47281921,Rajshahi,11/4/2024,13,Female,Anonymous,"Child involved in grooming, arranged marriage at age 15. Corroborating evidence exists.","Cyber exploitation, Early marriage",severe,Pending,Open,Urban,0,0,0,0,0,1,0,0,0,1,0,0,1
15082146,Mymensingh,12/18/2024,12,Female,Social worker,Child arranged marriage at age 13. Case requires immediate attention.,Early marriage,medium,Yes,Open,Rural,0,0,0,0,0,1,0,0,0,0,1,0,0
16065883,Rajbari,5/23/2023,13,Male,Family member (aunt),"Child subjected to begging ring, left at home alone for weeks. Corroborating evidence exists.","Exploitation, Abandonment",severe,No,Closed,Urban,0,0,0,0,0,0,1,0,1,0,0,1,0
14298875,Narsingdi,12/16/2023,10,Female,Relative,Child arranged marriage at age 12. Family denies allegations.,Early marriage,medium,Yes,Open,Rural,0,0,0,0,0,1,0,0,0,0,1,0,0
39006994,Barguna,11/22/2022,7,Female,Child helpline,Child arranged marriage at age 15. Corroborating evidence exists.,Early marriage,medium,Yes,Investigation,Urban,0,0,0,0,0,1,0,0,0,0,1,0,0
69986770,Tangail,6/18/2024,2,Male,Social worker,Child not attending school since 6 months. Corroborating evidence exists.,Educational deprivation,mild,Yes,Open,Rural,0,0,0,0,0,0,0,1,0,0,1,0,0
876658,Munshiganj,3/4/2023,,Female,Anonymous,Child arranged marriage at age 15. Case requires immediate attention.,Early marriage,medium,Yes,Investigation,Rural,0,0,0,0,0,1,0,0,0,0,1,0,0
11050210,Faridpur,12/23/2024,9,Female,Teacher,Child shows signs of anxiety. Family denies allegations.,Emotional abuse,mild,Pending,Open,Urban,0,0,1,0,0,0,0,0,0,0,0,0,1
40744497,Narsingdi,12/11/2022,,Male,Relative,Child appears without proper shelter. Case requires immediate attention.,Neglect (basic needs),mild,Yes,Investigation,Urban,0,0,0,1,0,0,0,0,0,0,1,0,0
28334317,Natore,6/13/2022,6,Male,Police,"Child involved in sextortion, appears poorly clothed. Multiple similar reports in area.","Cyber exploitation, Neglect (basic needs)",medium,No,Closed,Urban,0,0,0,1,0,0,0,0,0,1,0,1,0
43306802,Rangamati,7/9/2024,8,Female,Relative,Child shows signs of depression. Corroborating evidence exists.,Emotional abuse,mild,Yes,Closed,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
11912402,Barguna,3/28/2023,,Male,Social worker,"Child subjected to forced labor, engaged in excessive working hours, left with neighbors for days. Multiple similar reports in area.","Exploitation, Child labor, Abandonment",severe,Pending,Open,Urban,0,0,0,0,1,0,1,0,1,0,0,0,1
23930227,Gazipur,10/9/2022,14,Other,Community leader,Child reported inappropriate touching. Corroborating evidence exists.,Sexual abuse,medium,Yes,Open,Rural,0,1,0,0,0,0,0,0,0,0,1,0,0
18814226,Munshiganj,10/26/2024,15,Female,Community leader,Child subjected to begging ring. Multiple similar reports in area.,Exploitation,medium,Yes,Investigation,Rural,0,0,0,0,0,0,1,0,0,0,1,0,0
6790405,Manikganj,5/24/2023,11,Female,Family member (mother),"Child not attending school since 2 years, reported inappropriate touching, engaged in excessive working hours. Family denies allegations.","Educational deprivation, Sexual abuse, Child labor",severe,No,Open,Rural,0,1,0,0,1,0,0,1,0,0,0,1,0
48501384,Nilphamari,11/1/2022,12,Male,Anonymous,"Child shows signs of fearfulness, involved in grooming. Corroborating evidence exists.","Emotional abuse, Cyber exploitation",medium,Yes,Open,Rural,0,0,1,0,0,0,0,0,0,1,1,0,0
73355147,Natore,4/15/2023,12,Female,Child helpline,"Child subjected to begging ring, shows signs of anxiety, engaged in factory labor. Family denies allegations.","Exploitation, Emotional abuse, Child labor",severe,Pending,Open,Urban,0,0,1,0,1,0,1,0,0,0,0,0,1
78831894,Sherpur,7/31/2024,13,Male,Neighbor,Child engaged in excessive working hours. Corroborating evidence exists.,Child labor,mild,Yes,Investigation,Urban,0,0,0,0,1,0,0,0,0,0,1,0,0
13715547,Cumilla,12/2/2022,14,Male,Family member (aunt),"Child observed bruises, shows signs of fearfulness. Multiple similar reports in area.","Physical violence, Emotional abuse",severe,Yes,Open,Rural,1,0,1,0,0,0,0,0,0,0,1,0,0
99290075,Habiganj,2/16/2025,16,Female,Neighbor,Child left at home alone for weeks. Corroborating evidence exists.,Abandonment,medium,Yes,Investigation,Urban,0,0,0,0,0,0,0,0,1,0,1,0,0
65779072,Shariatpur,1/27/2025,3,Male,Relative,Child observed burns. Corroborating evidence exists.,Physical violence,medium,Yes,Closed,Urban,1,0,0,0,0,0,0,0,0,0,1,0,0
93573705,Chandpur,9/28/2022,8,Other,NGO staff,Child involved in online harassment. Corroborating evidence exists.,Cyber exploitation,mild,Pending,Investigation,Rural,0,0,0,0,0,0,0,0,0,1,0,0,1
73526604,Shariatpur,6/12/2024,15,Male,NGO staff,Child reported inappropriate touching. Family denies allegations.,Sexual abuse,medium,No,Open,Rural,0,1,0,0,0,0,0,0,0,0,0,1,0
48336536,Kishoreganj,3/17/2023,11,Female,Social worker,"Child arranged marriage at age 15, not attending school since 2 years. Family denies allegations.","Early marriage, Educational deprivation",medium,Yes,Investigation,Urban,0,0,0,0,0,1,0,1,0,0,1,0,0
56299458,Mymensingh,6/12/2023,7,Male,Healthcare worker,"Child appears malnourished, reported inappropriate touching. Multiple similar reports in area.","Neglect (basic needs), Sexual abuse",severe,Yes,Investigation,Urban,0,1,0,1,0,0,0,0,0,0,1,0,0
23510816,Pirojpur,11/1/2023,6,Male,Police,"Child left at home alone for days, reported assault. Multiple similar reports in area.","Abandonment, Sexual abuse",severe,No,Open,Rural,0,1,0,0,0,0,0,0,1,0,0,1,0
79073288,Gazipur,5/1/2023,9,Male,Healthcare worker,Child shows signs of fearfulness. Family denies allegations.,Emotional abuse,mild,Yes,Open,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
12808830,Barishal,7/13/2023,11,Female,Teacher,Child reported harassment. Case requires immediate attention.,Sexual abuse,medium,Yes,Closed,Rural,0,1,0,0,0,0,0,0,0,0,1,0,0
60045813,Sherpur,1/16/2025,17,Male,Relative,Child shows signs of fearfulness. Multiple similar reports in area.,Emotional abuse,mild,Yes,Closed,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
82968121,Feni,7/2/2024,12,Female,Community leader,Child observed bruises. Multiple similar reports in area.,Physical violence,medium,No,Open,Rural,1,0,0,0,0,0,0,0,0,0,0,1,0
51474919,Jhalokati,10/9/2023,5,Male,Family member (father),Child involved in sextortion. Case requires immediate attention.,Cyber exploitation,mild,Pending,Open,Urban,0,0,0,0,0,0,0,0,0,1,0,0,1
68402564,Narayanganj,1/29/2023,7,Male,Neighbor,Child reported inappropriate touching. Multiple similar reports in area.,Sexual abuse,medium,No,Open,Rural,0,1,0,0,0,0,0,0,0,0,0,1,0
5456058,Natore,11/24/2023,4,Male,Community leader,Child subjected to sexual exploitation. Corroborating evidence exists.,Exploitation,medium,Pending,Investigation,Urban,0,0,0,0,0,0,1,0,0,0,0,0,1
19249111,Barguna,10/31/2023,16,Male,Teacher,Child appears malnourished. Case requires immediate attention.,Neglect (basic needs),mild,Yes,Open,Rural,0,0,0,1,0,0,0,0,0,0,1,0,0
51039147,Patuakhali,7/23/2023,8,Male,Family member (aunt),"Child engaged in excessive working hours, not attending school since 2 years. Corroborating evidence exists.","Child labor, Educational deprivation",medium,Pending,Open,Urban,0,0,0,0,1,0,0,1,0,0,0,0,1
13600612,Jamalpur,8/15/2024,13,Male,Community leader,Child shows signs of withdrawal. Family denies allegations.,Emotional abuse,mild,Yes,Investigation,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
97731337,Chandpur,6/20/2021,17,Female,Teacher,Child subjected to forced labor. Corroborating evidence exists.,Exploitation,medium,No,Closed,Urban,0,0,0,0,0,0,1,0,0,0,0,1,0
55379700,Lakshmipur,12/14/2022,14,Female,NGO staff,Child subjected to sexual exploitation. Case requires immediate attention.,Exploitation,medium,Yes,Open,Rural,0,0,0,0,0,0,1,0,0,0,1,0,0
60821729,Brahmanbaria,6/17/2022,11,Female,NGO staff,Child shows signs of fearfulness. Corroborating evidence exists.,Emotional abuse,mild,Pending,Closed,Rural,0,0,1,0,0,0,0,0,0,0,0,0,1
33213232,Rajshahi,11/16/2022,6,Female,Community leader,Child observed burns. Corroborating evidence exists.,Physical violence,medium,Yes,Investigation,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
43859338,Barishal,1/29/2023,12,Female,Social worker,"Child observed fractures, reported inappropriate touching. Family denies allegations.","Physical violence, Sexual abuse",severe,No,Investigation,Urban,1,1,0,0,0,0,0,0,0,0,0,1,0
41000654,Nilphamari,5/9/2023,17,Female,Community leader,"Child engaged in factory labor, shows signs of depression, left with neighbors for days. Family denies allegations.","Child labor, Emotional abuse, Abandonment",severe,Yes,Open,Urban,0,0,1,0,1,0,0,0,1,0,1,0,0
48344662,Madaripur,8/28/2022,12,Male,Social worker,Child shows signs of fearfulness. Family denies allegations.,Emotional abuse,mild,Yes,Investigation,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
70695399,Rajbari,6/5/2024,13,Male,Anonymous,Child shows signs of fearfulness. Family denies allegations.,Emotional abuse,mild,Pending,Investigation,Rural,0,0,1,0,0,0,0,0,0,0,0,0,1
11283366,Gazipur,9/1/2023,7,Male,Neighbor,Child engaged in hazardous work. Corroborating evidence exists.,Child labor,mild,Yes,Open,Rural,0,0,0,0,1,0,0,0,0,0,1,0,0
8190344,Rangamati,6/12/2023,12,Female,Anonymous,"Child arranged marriage at age 12, left with neighbors for weeks. Corroborating evidence exists.","Early marriage, Abandonment",severe,Yes,Investigation,Urban,0,0,0,0,0,1,0,0,1,0,1,0,0
55070397,Sherpur,5/29/2023,16,Male,Neighbor,"Child observed bruises, engaged in factory labor. Corroborating evidence exists.","Physical violence, Child labor",severe,Yes,Open,Rural,1,0,0,0,1,0,0,0,0,0,1,0,0
83970890,Gazipur,7/8/2023,17,Male,Community leader,Child observed burns. Multiple similar reports in area.,Physical violence,medium,Yes,Investigation,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
3790912,Chapai Nawabganj,4/10/2023,14,Male,Anonymous,Child shows signs of depression. Family denies allegations.,Emotional abuse,mild,No,Investigation,Urban,0,0,1,0,0,0,0,0,0,0,0,1,0
47679824,Kurigram,4/3/2024,10,Female,Neighbor,Child not attending school since 1 year. Multiple similar reports in area.,Educational deprivation,mild,Yes,Open,Urban,0,0,0,0,0,0,0,1,0,0,1,0,0
21982667,Kishoreganj,12/17/2022,,Male,Anonymous,"Child arranged marriage at age 14, engaged in hazardous work. Family denies allegations.","Early marriage, Child labor",severe,Yes,Investigation,Urban,0,0,0,0,1,1,0,0,0,0,1,0,0
92374130,Noakhali,11/11/2023,6,Male,Police,Child not attending school since 6 months. Multiple similar reports in area.,Educational deprivation,mild,Yes,Open,Rural,0,0,0,0,0,0,0,1,0,0,1,0,0
38637141,Habiganj,7/31/2023,,Female,Neighbor,"Child observed fractures, engaged in excessive working hours. Case requires immediate attention.","Physical violence, Child labor",severe,No,Open,Rural,1,0,0,0,1,0,0,0,0,0,0,1,0
29567910,Pirojpur,8/7/2024,,Female,Anonymous,"Child appears malnourished, left at home alone for days. Case requires immediate attention.","Neglect (basic needs), Abandonment",severe,Yes,Open,Rural,0,0,0,1,0,0,0,0,1,0,1,0,0
11707331,Dinajpur,9/3/2022,15,Female,Family member (father),Child arranged marriage at age 16. Corroborating evidence exists.,Early marriage,medium,Yes,Open,Rural,0,0,0,0,0,1,0,0,0,0,1,0,0
16569656,Chattogram,1/9/2024,17,Female,Relative,"Child shows signs of fearfulness, not attending school since 6 months. Case requires immediate attention.","Emotional abuse, Educational deprivation",medium,Pending,Investigation,Urban,0,0,1,0,0,0,0,1,0,0,0,0,1
29488243,Barguna,7/4/2022,4,Female,NGO staff,Child left at home alone for days. Case requires immediate attention.,Abandonment,medium,No,Investigation,Urban,0,0,0,0,0,0,0,0,1,0,0,1,0
36997240,Rangamati,5/10/2024,9,Male,Neighbor,"Child subjected to sexual exploitation, appears poorly clothed. Corroborating evidence exists.","Exploitation, Neglect (basic needs)",severe,Yes,Open,Rural,0,0,0,1,0,0,1,0,0,0,1,0,0
96424010,Gopalganj,2/1/2024,16,Female,Child helpline,"Child not attending school since 1 year, involved in sextortion. Corroborating evidence exists.","Educational deprivation, Cyber exploitation",medium,Yes,Open,Rural,0,0,0,0,0,0,0,1,0,1,1,0,0
14970771,Cox's Bazar,3/11/2025,17,Female,Neighbor,"Child reported harassment, involved in sextortion. Family denies allegations.","Sexual abuse, Cyber exploitation",severe,Yes,Open,Rural,0,1,0,0,0,0,0,0,0,1,1,0,0
13205965,Netrokona,9/28/2022,17,Male,Social worker,Child observed bruises. Case requires immediate attention.,Physical violence,medium,Yes,Open,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
1133650,Noakhali,8/16/2024,15,Female,Social worker,"Child shows signs of depression, observed fractures. Case requires immediate attention.","Emotional abuse, Physical violence",severe,Pending,Investigation,Urban,1,0,1,0,0,0,0,0,0,0,0,0,1
96304099,Natore,1/27/2025,11,Male,Healthcare worker,"Child not attending school since 2 years, reported inappropriate touching. Family denies allegations.","Educational deprivation, Sexual abuse",severe,No,Investigation,Rural,0,1,0,0,0,0,0,1,0,0,0,1,0
43150199,Madaripur,10/29/2023,17,Male,Anonymous,Child engaged in factory labor. Family denies allegations.,Child labor,mild,Yes,Investigation,Rural,0,0,0,0,1,0,0,0,0,0,1,0,0
96303602,Rajbari,4/28/2024,16,Male,Police,"Child reported assault, appears malnourished. Corroborating evidence exists.","Sexual abuse, Neglect (basic needs)",severe,Pending,Investigation,Urban,0,1,0,1,0,0,0,0,0,0,0,0,1
27003401,Bhola,5/24/2023,8,Male,NGO staff,Child left at home alone for days. Multiple similar reports in area.,Abandonment,medium,Yes,Closed,Rural,0,0,0,0,0,0,0,0,1,0,1,0,0
11157068,Panchagarh,2/14/2023,9,Other,Child helpline,Child appears without proper shelter. Multiple similar reports in area.,Neglect (basic needs),mild,Yes,Open,Rural,0,0,0,1,0,0,0,0,0,0,1,0,0
22264673,Gaibandha,10/17/2024,6,Female,Child helpline,Child observed burns. Case requires immediate attention.,Physical violence,medium,Yes,Closed,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
37817758,Manikganj,12/15/2022,14,Male,Community leader,"Child involved in sextortion, arranged marriage at age 15. Multiple similar reports in area.","Cyber exploitation, Early marriage",severe,Yes,Open,Urban,0,0,0,0,0,1,0,0,0,1,1,0,0
9887812,Barguna,2/16/2024,15,Male,Police,"Child observed bruises, involved in grooming, reported inappropriate touching. Multiple similar reports in area.","Physical violence, Cyber exploitation, Sexual abuse",severe,Yes,Closed,Urban,1,1,0,0,0,0,0,0,0,1,1,0,0
71480440,Netrokona,9/2/2023,3,Female,Social worker,"Child shows signs of withdrawal, involved in online harassment. Multiple similar reports in area.","Emotional abuse, Cyber exploitation",medium,Yes,Investigation,Rural,0,0,1,0,0,0,0,0,0,1,1,0,0
30690473,Patuakhali,12/14/2021,8,Male,Healthcare worker,"Child arranged marriage at age 13, subjected to sexual exploitation. Corroborating evidence exists.","Early marriage, Exploitation",severe,Yes,Closed,Urban,0,0,0,0,0,1,1,0,0,0,1,0,0
48505783,Rajshahi,10/23/2022,10,Male,Family member (aunt),Child left at hospital for weeks. Corroborating evidence exists.,Abandonment,medium,No,Open,Rural,0,0,0,0,0,0,0,0,1,0,0,1,0
53117515,Rajshahi,5/12/2022,16,Male,Social worker,Child involved in grooming. Corroborating evidence exists.,Cyber exploitation,mild,Yes,Open,Rural,0,0,0,0,0,0,0,0,0,1,1,0,0
67017988,Tangail,12/8/2023,9,Female,Anonymous,Child engaged in excessive working hours. Case requires immediate attention.,Child labor,mild,No,Investigation,Rural,0,0,0,0,1,0,0,0,0,0,0,1,0
3347227,Noakhali,2/18/2024,3,Female,Healthcare worker,"Child engaged in excessive working hours, involved in grooming. Case requires immediate attention.","Child labor, Cyber exploitation",medium,Yes,Open,Urban,0,0,0,0,1,0,0,0,0,1,1,0,0
57074226,Jhalokati,12/28/2023,17,Male,Police,Child engaged in excessive working hours. Case requires immediate attention.,Child labor,mild,Yes,Open,Urban,0,0,0,0,1,0,0,0,0,0,1,0,0
84962671,Narsingdi,7/13/2020,10,Female,Relative,Child observed bruises. Family denies allegations.,Physical violence,medium,Yes,Open,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
57661,Sherpur,9/14/2022,6,Female,Neighbor,Child arranged marriage at age 13. Family denies allegations.,Early marriage,medium,Yes,Investigation,Rural,0,0,0,0,0,1,0,0,0,0,1,0,0
43346151,Panchagarh,6/19/2024,17,Male,Relative,Child left at home alone for days. Case requires immediate attention.,Abandonment,medium,Pending,Investigation,Urban,0,0,0,0,0,0,0,0,1,0,0,0,1
77875814,Chapai Nawabganj,4/16/2024,6,Male,Neighbor,Child arranged marriage at age 12. Family denies allegations.,Early marriage,medium,No,Open,Urban,0,0,0,0,0,1,0,0,0,0,0,1,0
95380561,Lakshmipur,12/15/2022,16,Male,Child helpline,"Child reported harassment, involved in grooming, observed fractures. Family denies allegations.","Sexual abuse, Cyber exploitation, Physical violence",severe,Yes,Open,Rural,1,1,0,0,0,0,0,0,0,1,1,0,0
67063440,Dhaka,10/24/2023,4,Female,Social worker,Child involved in online harassment. Corroborating evidence exists.,Cyber exploitation,mild,Yes,Investigation,Urban,0,0,0,0,0,0,0,0,0,1,1,0,0
92262021,Tangail,7/31/2023,4,Female,Family member (grandparent),Child appears without proper shelter. Case requires immediate attention.,Neglect (basic needs),mild,Yes,Closed,Rural,0,0,0,1,0,0,0,0,0,0,1,0,0
43348348,Pabna,12/14/2024,11,Female,Social worker,"Child reported inappropriate touching, not attending school since 2 years, shows signs of withdrawal. Corroborating evidence exists.","Sexual abuse, Educational deprivation, Emotional abuse",severe,Yes,Open,Rural,0,1,1,0,0,0,0,1,0,0,1,0,0
39609849,Tangail,2/29/2024,5,Male,Neighbor,"Child not attending school since 1 year, engaged in factory labor, involved in grooming. Multiple similar reports in area.","Educational deprivation, Child labor, Cyber exploitation",medium,Pending,Open,Urban,0,0,0,0,1,0,0,1,0,1,0,0,1
92077714,Habiganj,4/13/2023,16,Male,Anonymous,Child observed bruises. Family denies allegations.,Physical violence,medium,Yes,Open,Rural,1,0,0,0,0,0,0,0,0,0,1,0,0
46371003,Manikganj,11/20/2024,10,Female,Child helpline,Child reported inappropriate touching. Family denies allegations.,Sexual abuse,medium,Yes,Open,Rural,0,1,0,0,0,0,0,0,0,0,1,0,0
9122866,Manikganj,1/23/2023,8,Female,Relative,Child shows signs of withdrawal. Case requires immediate attention.,Emotional abuse,mild,Yes,Investigation,Rural,0,0,1,0,0,0,0,0,0,0,1,0,0
74964561,Jamalpur,1/2/2021,3,Female,Social worker,Child left at hospital for days. Case requires immediate attention.,Abandonment,medium,Pending,Investigation,Rural,0,0,0,0,0,0,0,0,1,0,0,0,1
28795044,Kishoreganj,10/13/2023,13,Female,Community leader,"Child shows signs of anxiety, subjected to begging ring. Corroborating evidence exists.","Emotional abuse, Exploitation",severe,Pending,Open,Rural,0,0,1,0,0,0,1,0,0,0,0,0,1
17946968,Netrokona,11/16/2023,5,Male,Family member (aunt),"Child shows signs of fearfulness, observed fractures. Family denies allegations.","Emotional abuse, Physical violence",severe,Yes,Open,Rural,1,0,1,0,0,0,0,0,0,0,1,0,0
83183836,Tangail,12/8/2022,6,Female,Anonymous,"Child involved in grooming, observed bruises. Multiple similar reports in area.","Cyber exploitation, Physical violence",severe,Pending,Open,Urban,1,0,0,0,0,0,0,0,0,1,0,0,1
46848442,Cox's Bazar,10/30/2024,12,Male,Child helpline,"Child not attending school since 1 year, engaged in excessive working hours. Family denies allegations.","Educational deprivation, Child labor",medium,Yes,Investigation,Rural,0,0,0,0,1,0,0,1,0,0,1,0,0
33522312,Rajbari,12/7/2023,7,Male,Teacher,"Child observed bruises, subjected to begging ring. Case requires immediate attention.","Physical violence, Exploitation",severe,Yes,Open,Rural,1,0,0,0,0,0,1,0,0,0,1,0,0
32830203,Pabna,9/19/2024,6,Male,Family member (mother),Child observed unexplained injuries. Family denies allegations.,Physical violence,medium,No,Open,Rural,1,0,0,0,0,0,0,0,0,0,0,1,0
42969783,Rangamati,3/25/2024,13,Male,Healthcare worker,"Child appears malnourished, shows signs of withdrawal. Family denies allegations.","Neglect (basic needs), Emotional abuse",medium,Pending,Investigation,Rural,0,0,1,1,0,0,0,0,0,0,0,0,1
